ID,joke
1,Avocado at therapy: Peas stay calm.
2,Bagel at therapy: It couldn’t handle the heat.
3,Baklava at therapy: It was a wok in the park.
4,Breaking news: cheesy kimchi flipped. Sip happens.
5,Breaking news: cooled beans turned over a new leaf. That’s the tea.
6,Breaking news: cooled cabbage told a joke. You’ve guac to be kidding me.
7,Breaking news: crispy quinoa kept it saucy. I’m kind of a big dill.
8,Breaking news: lunchbox broccoli needed a nap. Let’s taco ’bout it.
9,Breaking news: lunchbox dumpling needed a nap. You’ve guac to be kidding me.
10,Breaking news: midnight ramen spiced things up. That’s un-bread-ievable.
11,Breaking news: peppery soup stole the show. It couldn’t espresso itself.
12,Breaking news: picnic taco went on a roll. Sip happens.
13,Breaking news: street tofu went bananas. Rome-ain calm.
14,Breaking news: tangy yogurt had beef. It was feeling grate.
15,Breaking news: toasty fajitas spoke in riddles. You butter believe it.
16,Breaking news: zesty falafel went on a roll. Let’s taco ’bout it.
17,Breaking news: zesty salsa had beef. That’s un-bread-ievable.
18,Breaking up with broccoli: it’s not you. It was souper.
19,Breaking up with edamame: it’s not you. Rome-ain calm.
20,Breaking up with kebab: it’s not you. That’s un-bread-ievable.
21,Breaking up with lentils: it’s not you. Sip happens.
22,Breaking up with pierogi: it’s not you. Sip happens.
23,Breaking up with salsa: it’s not you. It couldn’t espresso itself.
24,Breaking up with steak: it’s not you. Because it kneaded dough!
25,Breaking up with toast: it’s not you. Sip happens.
26,Breaking up with waffle: it’s not you. You butter believe it.
27,Chef’s special: cooled dumpling. Let that sink in—like dishes.
28,Chef’s special: crispy omelet. Peas stay calm.
29,Chef’s special: fluffy gelato. Let’s taco ’bout it.
30,Chef’s special: oven-fresh omelet. Call me when it’s thyme.
31,"Chef’s special: picnic ceviche. Olive you, too."
32,Chef’s special: sparkly coffee. Sip happens.
33,"Chef’s special: sticky carrot. Olive you, too."
34,Chef’s special: street ramen. Because it kneaded dough!
35,Chef’s special: toasty lentils. That’s the tea.
36,Chef’s special: toasty muffin. Let’s taco ’bout it.
37,"Cupcake at therapy: Crumbs, that’s rough."
38,DIY project: mason jar avocado. Lettuce celebrate!
39,DIY project: mason jar brie. It just couldn’t ketchup.
40,"DIY project: mason jar cabbage. Crumbs, that’s rough."
41,DIY project: mason jar croissant. It was a wok in the park.
42,DIY project: mason jar gnocchi. Let that sink in—like dishes.
43,DIY project: mason jar hotdog. Fries before pies.
44,DIY project: mason jar iced tea. Berry good idea.
45,DIY project: mason jar kebab. Let that sink in—like dishes.
46,DIY project: mason jar pho. Fries before pies.
47,DIY project: mason jar poutine. It couldn’t espresso itself.
48,DIY project: mason jar salsa. Let’s taco ’bout it.
49,DIY project: mason jar sashimi. Fork-get about it.
50,DIY project: mason jar smoothie. Fork-get about it.
51,Dating advice from a bagel: It couldn’t espresso itself.
52,Dating advice from a burger: It had too many layers.
53,Dating advice from a carrot: That’s how it rolls.
54,Dating advice from a fajitas: It was a wok in the park.
55,Dating advice from a milkshake: It was souper.
56,Dating advice from a salsa: Scone with the wind.
57,Dating advice from a salsa: That’s un-bread-ievable.
58,Dating advice from a sashimi: Fries before pies.
59,Dating advice from a tofu: That’s the tea.
60,"Forecast today: banh mi with a chance of puns. Crumbs, that’s rough."
61,Forecast today: broccoli with a chance of puns. Sip happens.
62,Forecast today: burger with a chance of puns. Fork-get about it.
63,Forecast today: cookie with a chance of puns. Fries before pies.
64,Forecast today: curry with a chance of puns. It had too many layers.
65,Forecast today: falafel with a chance of puns. It was a wok in the park.
66,Forecast today: fries with a chance of puns. It was feeling grate.
67,Forecast today: hummus with a chance of puns. It was souper.
68,Forecast today: mocha with a chance of puns. Peas stay calm.
69,Forecast today: quiche with a chance of puns. Because it kneaded dough!
70,Forecast today: risotto with a chance of puns. Lettuce celebrate!
71,Forecast today: scone with a chance of puns. Let’s taco ’bout it.
72,Forecast today: steak with a chance of puns. Rome-ain calm.
73,Forecast today: taco with a chance of puns. You’ve guac to be kidding me.
74,Forecast today: tiramisu with a chance of puns. Fork-get about it.
75,Forecast today: tofu with a chance of puns. It had too many layers.
76,Forecast today: yakisoba with a chance of puns. I’m kind of a big dill.
77,Forecast today: yakisoba with a chance of puns. Let that sink in—like dishes.
